Stock_A,Stock_B,Pair_Type,GNN_Strength,Total_PnL,Total_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Num_Trades,Final_Equity
SBIN,LTIM,negative,-0.51804626,3921.992388373084,0.39119923883730845,0.9730817706084579,0.259948632367007,1.0,1,13911.992388373084
WIPRO,TCS,negative,-0.5366437,-385.5663133907507,-0.0395566313390751,0.01107079603701775,0.26701486524218393,0.0,1,9604.433686609249
SUNPHARMA,TCS,negative,-0.5412146,-133.1083394178601,-0.01431083394178604,0.027837429161057903,0.23515469815620055,0.0,1,9856.89166058214
ICICIBANK,LTIM,negative,-0.5419524,2335.6117411602036,0.23256117411602026,0.7261536915202522,0.2159115275654506,1.0,1,12325.611741160203
AXISBANK,LTIM,negative,-0.54568315,2035.2255790239146,0.20252255790239143,0.5980224229430768,0.261347825099002,1.0,1,12025.225579023914
ALKEM,TCS,negative,-0.55482155,14.069191430814117,0.00040691914308135893,0.08619169665867527,0.2736352300248376,1.0,1,10004.069191430814
LTIM,TCS,negative,-0.55735445,-10.369731296695331,-0.0020369731296696046,0.10017612906791001,0.32876953836793094,0.0,1,9979.630268703304
INFY,TORNTPHARM,negative,-0.5580423,2907.953123941752,0.2897953123941752,0.8345613572203542,0.18811425557103056,1.0,1,12897.953123941752
ZYDUSLIFE,TCS,negative,-0.5672767,117.0048003263921,0.01070048003263928,0.12054945933613125,0.30723549647184833,1.0,1,10107.004800326393
WIPRO,TORNTPHARM,negative,-0.5740057,3047.7036694571384,0.3037703669457138,0.8156801762188625,0.15933161460395623,1.0,1,13037.703669457138
TECHM,TCS,negative,-0.58369243,1077.8110537063496,0.10678110537063494,0.3546080225723887,0.27794069328305326,1.0,1,11067.81105370635
BIOCON,TCS,negative,-0.58780074,750.7891044006919,0.07407891044006919,0.27482952641676145,0.23930620502665936,1.0,1,10740.789104400692
PERSISTENT,TCS,negative,-0.6034367,1442.916837453947,0.14329168374539478,0.4007660610793295,0.29380342690027994,1.0,1,11432.916837453948
COFORGE,TCS,negative,-0.6243738,906.2324199308606,0.08962324199308605,0.3005108284990531,0.29700713742148,1.0,1,10896.23241993086
AUROPHARMA,TCS,negative,-0.63210577,51.67915196142968,0.004167915196142894,0.10472058333223616,0.32644331383650116,1.0,1,10041.679151961429
LUPIN,LTIM,negative,-0.6708234,2569.241287141165,0.2559241287141165,0.6825650533653081,0.25312821621477816,1.0,1,12559.241287141165
