Stock_A,Stock_B,Pair_Type,GNN_Strength,Total_PnL,Total_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Num_Trades,Final_Equity
ALKEM,LTIM,negative,2.1701456e-10,1174.843993735209,0.11378374190056274,0.38367841810124936,0.3224813327827387,0.25,4,11137.837419005627
DRREDDY,INFY,negative,2.1441386e-10,320.81876355936095,0.030155578510454143,0.17409104903606254,0.2522136435043517,0.5,2,10301.555785104541
BAJFINANCE,SBILIFE,negative,2.1395183e-10,3868.4743051704,0.3858474305170399,0.9610264178402962,0.20758769875575872,1.0,1,13858.474305170399
BAJFINANCE,DRREDDY,negative,2.0274836e-10,1786.9340457674086,0.1776934045767408,0.5575750071680057,0.14168454876297337,1.0,1,11776.934045767408
ZYDUSLIFE,BAJFINANCE,negative,2.0223814e-10,2742.1575373660003,0.2732157537366,0.7112131104290832,0.1814810730865948,1.0,1,12732.157537366
SUNPHARMA,LUPIN,negative,1.9482913e-10,373.60400829438476,0.02941627328241593,0.17415539730193488,0.20645083296458241,0.25,8,10294.16273282416
OFSS,AXISBANK,negative,1.9174824e-10,2645.193655552782,0.23403812785584124,0.616989839609016,0.3043563030601742,0.4782608695652174,23,12340.381278558412
HDFCBANK,PERSISTENT,negative,1.9052622e-10,3720.869255565188,0.3710869255565187,0.8694760538754384,0.19788093284455158,1.0,1,13710.869255565187
TCS,PERSISTENT,negative,1.8503489e-10,1972.1516990144692,0.19239957178617442,0.48116437108283455,0.2974208694227061,0.6,5,11923.995717861744
CIPLA,LTIM,negative,1.8019747e-10,435.9233530956832,0.04259233530956826,0.20775098231888156,0.27273242034118234,1.0,1,10425.923353095683
AUROPHARMA,DRREDDY,negative,1.7957678e-10,-184.6996676036099,-0.02454523717761767,0.03097268278441805,0.3300008734313103,0.3333333333333333,6,9754.547628223823
ZYDUSLIFE,LTIM,negative,1.7701743e-10,1562.5147217399392,0.1552514721739939,0.46727910609764023,0.3145588036510413,1.0,1,11552.514721739939
DRREDDY,LTIM,negative,1.6630136e-10,607.2912301413471,0.05972912301413471,0.25404269028089604,0.2823571847360007,1.0,1,10597.291230141347
DIVISLAB,WIPRO,negative,1.651804e-10,1594.5208525704743,0.1469630318853422,0.45228962687247304,0.21940305834709722,0.18181818181818182,11,11469.630318853422
ICICIPRULI,DRREDDY,negative,1.5897367e-10,1271.7074447455284,0.1261707444745529,0.43997908989785606,0.2678416031229276,1.0,1,11261.707444745529
AUROPHARMA,LUPIN,negative,1.5077731e-10,2375.3560632699678,0.23073116152971726,0.5670438240238125,0.2754144623564493,0.5,6,12307.311615297172
ICICIBANK,PERSISTENT,negative,1.4990471e-10,3788.898309910846,0.37788983099108464,0.8805998445671035,0.18763089587315346,1.0,1,13778.898309910846
KOTAKBANK,AXISBANK,negative,1.4862783e-10,1954.8139794573008,0.19448139794573,0.5755756787762062,0.15486240597866643,1.0,1,11944.8139794573
